,上映日期,片名,类型,制片国家/地区,想看,ID,导演,主演
82,09月13日,忠犬流浪记,剧情 / 冒险,中国大陆,32人,30394018,桑凯·维杜朗 Somkiat Vithuranich,叮当|应昊茗|林枫|王硕|傅风男|张浩|陈宇星|崔刚|吴道翔
83,09月30日,攀登者,剧情 / 冒险,中国大陆,11852人,30413052,李仁港,吴京|章子怡|张译|井柏然|胡歌|王景春|何琳|陈龙|曲尼次仁|拉旺罗布|刘小锋|多布杰|成龙
84,09月30日,中国机长,剧情 / 传记 / 灾难,中国大陆,4905人,30295905,刘伟强,张涵予|袁泉|欧豪|杜江|张天爱|李沁|张雅玫|杨祺如|高戈
85,10月01日,摸金校尉之九幽将军,奇幻 / 冒险,中国大陆,38113人,26986120,徐克,陈坤
86,10月01日,我和我的祖国,剧情,中国大陆,2566人,32659890,管虎|张一白|徐峥|薛晓路|宁浩|文牧野|陈凯歌,葛优|田壮壮|黄渤|刘昊然|王千源|欧豪
87,10月,解放了,剧情 / 历史 / 战争,中国大陆,970人,30454698,李少红|常晓阳,钟汉良|周一围|钟楚曦|王迅|王锵|姜皓文|乌兰托雅·朵|杨幂|潘斌龙|傅亨|郭麒麟|尹子维|魏子淇|季路桐|艾米|邵兵
88,11月,横财局中局,剧情 / 喜剧,中国大陆,48人,25820616,陈建勇,黄圣依|聂远|林雪|边潇潇|王全有|王婉中|胡明|杨清文|张大礼|宫正楠|高海博|柴蔚|张倩|马现楷
89,12月,宠爱,喜剧 / 爱情,中国大陆,412人,33417046,杨子,钟汉良|杨子姗|吴磊|张子枫|于和伟|陶虹|斯琴高娃|徐峥
90,2020年01月25日,唐人街探案3,喜剧 / 悬疑,中国大陆,49926人,27619748,陈思诚,刘昊然|王宝强|张子枫|妻夫木聪
91,2020年01月25日,囧妈,剧情 / 喜剧,中国大陆,6987人,30306570,徐峥,徐峥|王祖蓝|彭昱畅|潘虹
92,2020年01月25日,中国女排,剧情,中国大陆 / 香港,2671人,30128916,陈可辛,巩俐
93,2020年01月25日,大红包,喜剧 / 爱情,中国大陆,20人,33457717,李克龙,包贝尔|李成敏|许君聪|王小利|廖蔚蔚
94,2020年06月21日,六月的秘密,剧情 / 悬疑 / 音乐,中国大陆 / 美国,542人,30216731,王暘,郭富城|苗苗|吴建飞
95,2020年10月01日,黑色假面,剧情 / 悬疑,中国大陆,3957人,26986136,,
